epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,1.1691015811883538,56.0429471321823,0.9358963763776028,65.51825967122748
2,0.8890437733068751,67.24898625385734,0.8566990263796026,68.99301112314204
3,0.7874290190498593,70.87551962459514,0.8264628658438775,69.7509597401319
4,0.7074026879126396,74.08890362398307,0.8049879580962046,70.19391672408702
5,0.6328940836519428,76.71316722348321,0.8547895051783165,70.5187518456541
6,0.5630926655520927,79.63581648006937,0.8138812272048088,71.8082488433901
7,0.4969895014662916,81.87243375583382,0.833018898089719,71.50310069888769
8,0.4360629200672386,84.18811047920227,0.9025811649223096,70.44000393739542
9,0.376454936436075,86.50633750733212,0.9037076351632988,71.99527512550448
10,0.3335642521477326,88.01611792609216,0.9898976814572016,71.40466581356432
11,0.2834456103864878,89.74522455433424,1.015705567174146,71.48341372182301
12,0.2573824980172235,91.0025248017138,1.0359537312688527,71.6704400039374
13,0.2169303660247774,92.36183723955013,1.1303422475485412,70.89280440988286
14,0.1364673697523739,95.53441636275537,1.097174354132992,73.11743281819076
15,0.1031851402635961,96.59279283874424,1.1498952547224128,72.8516586278177
16,0.0877169605571313,97.23546963862182,1.1895510966365457,72.86150211635004
17,0.0794472482648929,97.46754737191094,1.260113569938922,72.18230140761887
18,0.0761246308298623,97.5542577337992,1.2971393651926608,72.68431932276799
19,0.049374414214414,98.47746805743286,1.2525785164589465,73.21586770351412
20,0.041542079131456,98.80135676213308,1.29867808230222,73.1272763067231
21,0.0345487958191533,98.98497870495524,1.3397497374167275,73.10758932965842
22,0.032010520945659,99.0614878477978,1.3677279011965475,73.24539816911113
23,0.0313975446378229,99.13034607635612,1.4033940044699345,72.95009351314106
24,0.0310822211023357,99.02578358113794,1.4381830828175064,72.95009351314106
25,0.0296200405503138,99.06658845732063,1.4137329985652105,73.2650851461758
